application_id;module;function;path;prior;target_range
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/ValueTracking.cpp;_ZNK4llvm5Value10getValueIDEv;Z.L.T-i16;Integer Scale Prior;1,0
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/ValueTracking.cpp;_ZNK4llvm5Value10getValueIDEv;Z.T-i32;Integer Scale Prior;1,0
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/ValueTracking.cpp;_ZNK4llvm5Value10getValueIDEv;Z.L.L.T-i8;Integer Scale Prior;1,0
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/GuardUtils.cpp;_ZN4llvm12PatternMatch17IntrinsicID_matchC2Ej;A0.D.S0.L.L.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/GuardUtils.cpp;_ZN4llvm12PatternMatch17IntrinsicID_matchC2Ej;A0.D.S0.L.T-i16;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/GuardUtils.cpp;_ZN4llvm12PatternMatch17IntrinsicID_matchC2Ej;A0.D.S0.T-i32;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Transforms/Scalar/EarlyCSE.cpp;_ZNK4llvm8Function14getIntrinsicIDEv;Z.L.L.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZNK4llvm9StringRef5emptyEv;Z.T-i1;Boolean Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.T-i64;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.L.L.L.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.L.R.R.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.R.L.L.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.R.R.L.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.L.T-i32;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZNK4llvm8Function11isIntrinsicEv;Z.T-i1;Boolean Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.L.L.R.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.L.R.L.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.R.L.T-i16;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.R.L.R.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE;Z.S1.R.R.R.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZNK4llvm21TargetLibraryInfoImpl10getLibFuncERKNS_8FunctionERNS_7LibFuncE;A2.D.L.L.T-i8;All Integers Prior;NA
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZNK4llvm21TargetLibraryInfoImpl10getLibFuncERKNS_8FunctionERNS_7LibFuncE;A2.D.T-i32;Integer Range Prior;0,559995
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZNK4llvm21TargetLibraryInfoImpl10getLibFuncERKNS_8FunctionERNS_7LibFuncE;A2.D.T-i32;Integer Offset Prior;6,543176
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZNK4llvm21TargetLibraryInfoImpl10getLibFuncERKNS_8FunctionERNS_7LibFuncE;A2.D.T-i32;Integer Scale Prior;1,2200
MINIMIZED_POLYBENCH_bicg;llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZNK4llvm21TargetLibraryInfoImpl10getLibFuncERKNS_8FunctionERNS_7LibFuncE;A2.D.R.L.T-i8;Integer Range Prior;0,7
